generator,K,n,violations,coverage,auc,ap_spof,medD_k1,medD_k2,medD_k3plus
eps10,3,778,0,0.0489,0.5337,0.1356,1.0,1.0,1.0
eps10,5,778,0,0.0756,0.5468,0.1389,1.0,1.0,1.0
eps10,15,778,0,0.1007,0.5591,0.1423,1.0,1.0,1.0
eps25,3,778,0,0.0741,0.546,0.1387,1.0,1.0,1.0
eps25,5,778,0,0.1289,0.5729,0.1462,1.0,1.0,1.0
eps25,15,778,0,0.203,0.6092,0.1576,1.0,1.0,1.0
ipsp_rho125,3,1822,0,0.5484,0.777,0.251,1.0,1.0,2.0
ipsp_rho125,5,1822,0,0.8125,0.9074,0.4453,1.0,2.0,2.0
ipsp_rho125,15,1822,0,0.9987,0.9994,0.9796,1.0,2.0,3.0
ipsp_rho4,3,1822,0,0.9683,0.9844,0.8191,1.0,2.0,2.0
ipsp_rho4,5,1822,0,1.0,1.0,0.9877,1.0,2.0,3.0
ipsp_rho4,15,1822,0,1.0,1.0,0.9877,1.0,2.0,4.0
yen,3,778,0,0.1689,0.5925,0.1521,1.0,1.0,1.0
yen,5,778,0,0.2652,0.6397,0.1686,1.0,1.0,1.0
yen,15,778,0,0.4415,0.7262,0.2104,1.0,1.0,1.0
