segmentid,purpose,start,end,on,n_permits,n_matched_edges,edges
137,TRIBUTARY INSTALL - GAS,2026-07-10,2026-08-09,JOHNSON AVENUE,1,2,42976583|42994933;42994933|42976583
1098,MAJOR INSTALLATION - GAS,2026-06-03,2026-09-01,SINGLETON STREET,1,2,42964195|42983661;42983661|42964195
10359,DOT IN-HOUSE MILLING,2026-06-04,2026-08-31,PROSPECT PLACE,2,2,42991702|42992689;42992689|42991702
10423,DOT IN-HOUSE MILLING,2026-06-04,2026-08-31,ADELAIDE AVENUE,2,2,42993552|5438392393;5438392393|42993552
10431,DOT IN-HOUSE MILLING,2026-06-04,2026-08-31,ADELAIDE AVENUE,2,2,42951717|43004998;43004998|42951717
9695,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,VICTORY BOULEVARD,1,2,42978258|42978263;42978263|42978258
1087,PAVE STREET-W/ ENGINEERING & INSP FEE,2026-06-23,2026-07-18,INEZ STREET,1,2,42948259|42948262;42948262|42948259
10282,REPLACEMENT OF POLES,2026-05-06,2026-08-04,ISABELLA AVENUE,2,2,43023201|43026598;43026598|43023201
15210,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,SUNRISE TERRACE,1,2,42970985|42986943;42986943|42970985
19708,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,2026-07-06,2026-07-20,86 STREET,7,2,42487976|42487979;42487979|42487976
23992,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,2026-06-30,2026-09-01,JORALEMON STREET,1,1,42497588|42502648
24077,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-11,2026-07-20,WATER STREET,3,1,2687331105|42469329
1198,DOT IN-HOUSE MILLING,2026-06-05,2026-08-30,VETERANS ROAD WEST,2,0,
19707,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,2026-07-06,2026-07-20,BAY   20 STREET,8,1,42490008|42487976
1174,REPLACEMENT OF POLES,2026-06-22,2026-07-22,SHARROTTS ROAD,1,10,42955785|6895246266;6895246266|42955785;6895246266|7397627212;7397627205|7397627212;7397627205|7842089314;7397627212|6895246266;7397627212|7397627205;7842089304|7842089314;7842089314|7397627205;7842089314|7842089304
19700,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-06,2026-07-20,85 STREET,7,1,42468256|42488676
24036,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-18,2026-07-20,HICKS STREET,2,1,42483453|42483450
24595,OCCUPANCY OF ROADWAY AS STIPULATED,2026-05-27,2026-08-25,FLEET PLACE,3,1,42494926|5449046487
19698,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-06,2026-07-20,86 STREET,7,2,42468268|42478670;42478670|42468268
24377,OCCUPANCY OF ROADWAY AS STIPULATED,2026-06-06,2026-08-03,CLINTON STREET,2,1,42435928|42433551
10284,REPLACEMENT OF POLES,2026-05-08,2026-08-06,ISABELLA AVENUE,1,2,42984986|43026598;43026598|42984986
10427,DOT IN-HOUSE MILLING,2026-06-04,2026-08-31,ADELAIDE AVENUE,2,2,42951717|42993552;42993552|42951717
10528,DOT IN-HOUSE MILLING,2026-06-11,2026-08-10,3 STREET,2,1,42954069|42954065
15204,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,SUNRISE TERRACE,1,0,
15206,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,OCCIDENT AVENUE,1,0,
10347,DOT IN-HOUSE MILLING,2026-06-04,2026-08-31,PROSPECT PLACE,2,2,42992689|42992692;42992692|42992689
15205,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,SUNRISE TERRACE,1,0,
19815,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-06,2026-07-20,19 AVENUE,7,2,42487979|42488676;42488676|42487979
31,PAVE STREET-W/ ENGINEERING & INSP FEE,2026-06-22,2026-07-19,TOTTENVILLE PLACE,1,2,42956825|42983709;42983709|42956825
24159,OCCUPANCY OF SIDEWALK AS STIPULATED,2026-07-07,2026-07-15,DIVISION STREET,3,1,42440679|42453700
9559,TEST PITS,2026-07-10,2026-08-09,PURDY AVENUE,1,2,42961697|43008491;43008491|42961697
19696,OCCUPANCY OF SIDEWALK AS STIPULATED,2026-07-06,2026-07-20,86 STREET,8,2,42468268|42487976;42487976|42468268
10435,DOT IN-HOUSE PAVING,2026-06-04,2026-08-31,ADELAIDE AVENUE,2,2,43004998|43005002;43005002|43004998
15213,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,OCCIDENT AVENUE,1,2,42967855|42970991;42970991|42967855
10246,DOT IN-HOUSE MILLING,2026-05-28,2026-07-31,BROOK AVENUE,4,2,42956608|42960613;42960613|42956608
10374,DOT IN-HOUSE PAVING,2026-06-11,2026-08-10,3 STREET,2,1,2546938367|42954069
9690,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,VICTORY BOULEVARD,1,2,42952458|42978258;42978258|42952458
19695,RAPID TRANSIT CONSTRUCT/ ALTERATION,2026-07-06,2026-07-20,86 STREET,7,2,42478670|42487972;42487972|42478670
19702,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-07,2026-07-20,85 STREET,9,1,42512375|42468256
15200,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,SUNRISE TERRACE,2,0,
15211,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,OCCIDENT AVENUE,1,2,42967855|42970985;42970985|42967855
24146,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-07,2026-07-15,DIVISION STREET,1,2,5796726888|7480301987;7480301987|42437988
24694,MAJOR INSTALLATIONS - HIGH VOLTAGE,2026-06-20,2026-07-20,JOHN STREET,1,0,
1291,REPAIR GAS,2026-07-06,2026-08-05,ROBIN COURT,2,2,43019031|43020927;43020927|43019031
15426,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,COLTON STREET,1,2,42951905|42953311;42953311|42951905
15712,E.D.C. CONTRACTOR MAJOR RECONSTRUCTION,2026-07-02,2026-09-26,THOMPSON STREET,1,1,42945868|42965588
15778,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,BEETHOVEN STREET,1,2,42993122|42993125;42993125|42993122
15868,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-02,2026-09-21,FRONT STREET,4,0,
25478,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,2026-06-11,2026-07-26,OCEAN PARKWAY,1,2,42508845|42508849;42508849|42508845
25486,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-06,2026-08-01,EAST    7 STREET,3,1,42485307|42485310
24155,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-07,2026-07-15,DIVISION STREET,1,1,42453700|5796726888
24158,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-07,2026-07-15,ORCHARD STREET,1,1,42453700|42440792
24572,OCCUPANCY OF SIDEWALK AS STIPULATED,2026-06-11,2026-09-09,ROCKWELL PLACE,5,1,42464854|42469250
1311,REPAIR GAS,2026-07-06,2026-08-05,ROBIN COURT,1,2,43019038|43020920;43020920|43019038
15768,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,BEETHOVEN STREET,1,0,
15875,OCCUPANCY OF ROADWAY AS STIPULATED,2026-07-02,2026-09-21,FRONT STREET,3,2,42945857|5490421642;5490421642|42945857
15901,DOT IN-HOUSE PAVING,2026-07-09,2026-08-31,TOMPKINS AVENUE,1,2,42947710|5528176063;5528176063|42947710
2001,REPLACEMENT OF POLES,2026-06-09,2026-09-07,IONIA AVENUE,1,2,42952302|43002055;43002055|42952302
11588,MAJOR INSTALLATION - GAS,2026-06-22,2026-09-20,ANNFIELD COURT,1,0,
16391,DOT IN-HOUSE PAVING,2026-06-25,2026-08-31,HAMILTON AVENUE,2,1,42962439|42962442
11582,MAJOR INSTALLATIONS - GAS-PROTECTED,2026-06-22,2026-09-20,WESTMINSTER COURT,1,2,42981615|42981620;42981620|42981615
16323,DOT IN-HOUSE MILLING,2026-06-25,2026-08-31,HAMILTON AVENUE,2,1,42962456|42962450
15766,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,BEETHOVEN STREET,1,0,
15654,REPLACEMENT OF POLES,2026-05-29,2026-08-25,TOMPKINS AVENUE,1,1,4474960554|42972482
20446,OCCUPANCY OF SIDEWALK AS STIPULATED,2026-06-15,2026-07-16,46 STREET,6,2,42480513|5488627070;5488627070|42480516
16219,DOT IN-HOUSE MILLING,2026-06-25,2026-08-31,HAMILTON AVENUE,2,1,42962467|42962461
11423,TRIBUTARY INSTALL - GAS,2026-07-06,2026-08-05,TODT HILL ROAD,1,4,42970612|6888243307;42974944|6888243307;6888243307|42970612;6888243307|42974944
11545,REPLACEMENT OF POLES,2026-04-16,2026-07-15,BENEDICT ROAD,4,0,
11548,REPLACEMENT OF POLES,2026-04-16,2026-07-15,BENEDICT ROAD,2,0,
16048,DOT IN-HOUSE PAVING,2026-07-02,2026-09-29,KEELEY STREET,1,2,42949437|42949439;42949439|42949437
16110,DOT IN-HOUSE PAVING,2026-07-09,2026-08-31,SHORE ACRES ROAD,1,2,42965690|10557252935;10557252935|42965690
16224,DOT IN-HOUSE MILLING,2026-06-25,2026-08-31,HAMILTON AVENUE,2,1,42962461|42962456
16379,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,ST MARKS PLACE,1,4,42955725|42955728;42955728|42955725;42955728|42955740;42955740|42955728
16433,DOT IN-HOUSE PAVING,2026-07-02,2026-08-31,SLOSSON TERRACE,1,4,42965724|42979474;42979474|42965724;42979474|5490290126;5490290126|42979474
30582,DOT IN-HOUSE MILLING,2026-07-10,2026-07-14,SOUTH    8 STREET,1,1,42501318|42501316
11526,REPLACEMENT OF POLES,2026-05-27,2026-08-25,GARDEN COURT,1,3,42994104|12184798980;12184798980|42994104;12184798980|12184798980
