node,kappa,w,days_severed,w_days
42983661,1,1.0,91,91.0
5490674809,1,4.0,91,364.0
1000468695,2,1.0,87,87.0
447829828,1,2.0,87,174.0
42924002,2,10.0,39,390.0
5488627070,1,2.0,32,64.0
5481915279,1,8.0,31,248.0
10774439632,1,104.0,78,8112.0
6406731487,1,66.0,78,5148.0
13006017518,2,3.0,47,141.0
2793909435,2,6.0,47,282.0
42934299,1,11.0,47,517.0
7397627216,1,1.0,31,31.0
7842089317,1,1.0,31,31.0
5516562246,1,1.0,91,91.0
42458185,1,9.0,82,738.0
42861677,2,1.0,53,53.0
589928003,1,10.0,52,520.0
42740197,1,6.0,33,198.0
12079176844,1,1.0,69,69.0
8300702260,1,1.0,69,69.0
274191830,1,1.0,69,69.0
5487752557,2,1.0,69,69.0
7778750138,1,2.0,69,138.0
42855111,2,2.0,69,138.0
42811539,2,1.0,69,69.0
7778750182,1,5.0,69,345.0
7850676279,1,5.0,69,345.0
3556671372,1,5.0,69,345.0
42873533,2,12.0,69,828.0
11998243305,1,42.0,69,2898.0
9289203776,1,7.0,69,483.0
42981431,1,1.0,90,90.0
42891110,4,1.0,59,59.0
42865639,1,2.0,31,62.0
4605831762,1,2.0,54,108.0
42827908,1,1.0,90,90.0
8880683363,1,3.0,90,270.0
7884773210,3,5.0,90,450.0
42832432,4,10.0,90,900.0
42812971,2,2.0,90,180.0
12985202235,1,1.0,6,6.0
5448974200,1,1.0,31,31.0
9423683546,1,2.0,11,22.0
42503833,2,11.0,5,55.0
42881044,1,11.0,90,990.0
