metric,value
n_segments,209152.0
n_spof,2010.0
n_demand_sources,5980.0
base_rate,0.0096
auc_fwd_weighted,0.7474
ap_fwd_weighted,0.0193
ap_neg_fwd_weighted,0.0067
zero_share_fwd_weighted,0.4769
spof_share_in_zero_fwd_weighted,0.0179
auc_fwd_unweighted,0.782
ap_fwd_unweighted,0.0318
ap_neg_fwd_unweighted,0.0094
zero_share_fwd_unweighted,0.4769
spof_share_in_zero_fwd_unweighted,0.0179
auc_reverse_weighted_exact,0.3426
ap_reverse_weighted_exact,0.0099
ap_neg_reverse_weighted_exact,0.0155
zero_share_reverse_weighted_exact,0.4756
spof_share_in_zero_reverse_weighted_exact,0.8189
