node,w,kappa,cut_u,cut_v
3861776955,9.0,1,3861776955,42971019
42974912,4.0,16777219,-1,-1
3861777144,2.0,1,3861777124,42951399
11952901708,1.0,1,11952901708,42951399
12889427007,1.0,1,12889427007,11773698933
42997741,1.0,1,42997741,42997748
7587509464,1.0,1,42971247,42971239
3621068436,2.0,0,-1,-1
42978521,2.0,4,-1,-1
42982197,1.0,3,-1,-1
6892463944,5.0,1,6892463944,6892463938
7587509469,1.0,1,42971247,42971239
42950789,1.0,1,42950789,42950788
5763413861,3.0,1,5763413861,5763413860
42991095,1.0,3,-1,-1
42951353,1.0,3,-1,-1
42971010,7.0,2,-1,-1
8359760531,10.0,1,8359760531,8359760528
42989952,3.0,1,42989952,42989947
42994060,1.0,1,42994060,42971239
7825586395,4.0,1,7825586395,7825586393
3009475839,3.0,1,3009475839,8417052030
12177294608,3.0,1,12177294608,12177294615
5763413452,1.0,1,5763413452,43005699
5763413867,1.0,1,5763413446,5763413860
5763413420,4.0,1,5763413420,5763413867
43018687,5.0,1,43018687,43012196
43003540,2.0,3,-1,-1
42991083,1.0,4,-1,-1
42989141,1.0,3,-1,-1
42980628,7.0,1,42980628,42965076
42975901,17.0,3,-1,-1
5490185922,14.0,2,-1,-1
6291834701,1.0,1,6291834699,7771863763
8417052030,1.0,1,8417052030,8413455529
11725197603,4.0,1,11725197603,8555577987
5763413438,1.0,1,5763413446,5763413860
10671699433,13.0,1,10671699433,43012193
42951681,4.0,1,42951681,42951678
42995688,2.0,2,-1,-1
42948879,1.0,16777219,-1,-1
6902415335,1.0,1,6902415335,6902415334
42991582,4.0,3,-1,-1
42953163,2.0,4,-1,-1
42983670,7.0,1,42983670,7776323286
5490183066,31.0,1,5490183066,5490183065
447830441,7.0,2,-1,-1
8418760922,11.0,2,-1,-1
43005812,6.0,3,-1,-1
12177253990,16.0,1,12177253990,12177253989
42997274,5.0,3,-1,-1
5763413912,1.0,1,5763413446,5763413860
5763413894,2.0,1,5763413446,5763413860
12177254062,3.0,1,12177254062,5540274976
42956518,1.0,1,42956518,43003682
42956464,7.0,1,42956464,42994214
42998692,1.0,1,42998692,42989122
42989122,1.0,3,-1,-1
42959581,1.0,3,-1,-1
6916933291,1.0,1,6916933291,42959571
5490205090,35.0,16777219,-1,-1
43027901,22.0,1,43027901,42991567
7788429882,53.0,1,7788429882,7788429883
11738261732,25.0,0,-1,-1
447825755,13.0,2,-1,-1
12177266037,2.0,1,12177266037,12177266035
12177253910,7.0,1,12177253910,12177253902
12177253931,6.0,2,-1,-1
6895541824,3.0,0,-1,-1
5763413421,1.0,1,5763413446,5763413860
11123987007,1.0,1,11123987007,12177254032
5763413416,4.0,1,5763413416,43023848
43015928,2.0,1,43015928,10572078117
2613300617,1.0,2,-1,-1
42956703,1.0,2,-1,-1
42999211,1.0,1,42999211,42999213
3566540124,1.0,1,3566540124,3566540125
4341468763,2.0,1,4341468763,42991518
7792792398,3.0,1,7792792398,5490200756
5490168762,19.0,1,5490168762,5490168767
1000468148,15.0,2,-1,-1
5490194435,1.0,2,-1,-1
7397627216,1.0,1,7397627216,7397627212
7842089317,1.0,1,7842089317,7842089314
12177254018,1.0,0,-1,-1
8141396907,2.0,1,8141396907,43005657
12177254086,1.0,1,12177254086,12177254073
7761231004,4.0,1,7761231004,12177254123
10572078118,19.0,1,10572078118,10572078117
5448974200,1.0,1,5448974200,42973551
42973548,1.0,2,-1,-1
42965062,2.0,1,42965062,42944798
6865000733,1.0,1,6865000733,7802844415
42992496,1.0,2,-1,-1
448139213,2.0,1,448139214,448139234
60651551,1.0,1,60651551,60651554
1000468695,1.0,2,-1,-1
447829828,2.0,1,447829828,447829783
42955823,3.0,3,-1,-1
446739830,1.0,1,446739830,42954735
5199308246,1.0,1,5199308246,6033212422
5490222232,3.0,2,-1,-1
12177254106,1.0,1,12177254106,12177254116
6277185526,16.0,1,6277185526,42950801
410678768,1.0,2,-1,-1
42984619,1.0,2,-1,-1
391733771,1.0,1,391733771,42984666
7207656465,1.0,1,7207656465,7207656463
42960416,1.0,2,-1,-1
533904509,1.0,1,533904509,42945965
43020223,1.0,2,-1,-1
42972403,1.0,3,-1,-1
43020920,1.0,2,-1,-1
42962981,4.0,1,42962981,42962983
10682010269,1.0,1,10682010269,42948655
446745675,5.0,2,-1,-1
3659162627,12.0,1,3659162627,3659162625
6182785858,2.0,2,-1,-1
12540016446,1.0,3,-1,-1
410679026,4.0,1,410679026,5490717197
42984675,1.0,1,42984675,42984666
2537340800,1.0,3,-1,-1
6710346043,1.0,1,6710346043,2537341620
7802844404,41.0,2,-1,-1
42980685,1.0,3,-1,-1
43007776,1.0,3,-1,-1
42997162,1.0,2,-1,-1
42952065,1.0,1,42952065,42952054
42971053,3.0,2,-1,-1
42974099,1.0,4,-1,-1
10655985222,1.0,1,10655985222,42958235
43017664,3.0,1,43017664,42974426
446760813,7.0,2,-1,-1
7669484451,1.0,2,-1,-1
5490589650,1.0,2,-1,-1
5490589637,3.0,2,-1,-1
42984496,10.0,1,42984496,42984493
42984488,2.0,3,-1,-1
2537340343,1.0,3,-1,-1
43003400,1.0,3,-1,-1
43003200,5.0,1,43003200,42953330
2537327175,3.0,1,2537327175,42980011
42993614,1.0,3,-1,-1
410626630,1.0,1,410626630,42993621
42981161,5.0,2,-1,-1
42962506,1.0,3,-1,-1
42977144,2.0,3,-1,-1
2537413961,8.0,2,-1,-1
42943655,12.0,3,-1,-1
42943675,5.0,2,-1,-1
5490589654,7.0,1,5490589654,5490589653
42957927,3.0,1,42957927,7192545132
7425597772,10.0,1,7425597772,11901605190
446782711,8.0,1,446782711,4604311977
2537300369,1.0,1,2537300369,42981788
42981770,1.0,2,-1,-1
42959742,1.0,3,-1,-1
42975342,1.0,1,42975342,42955550
7388570562,1.0,2,-1,-1
42976714,1.0,4,-1,-1
42961465,1.0,3,-1,-1
42976753,1.0,4,-1,-1
42975051,1.0,3,-1,-1
4411838585,31.0,3,-1,-1
43019549,1.0,3,-1,-1
43027190,1.0,3,-1,-1
6901248690,1.0,1,6901248601,42983946
4204979727,3.0,2,-1,-1
4838387088,3.0,1,4838387088,42957888
7979891856,1.0,1,7979891856,7405090655
43007054,36.0,1,43007054,2537294608
42963201,3.0,3,-1,-1
42972609,1.0,1,42972609,42972616
42948559,1.0,1,42948559,2540763798
42974537,1.0,1,42974537,42974534
42992388,23.0,2,-1,-1
42994617,1.0,4,-1,-1
42994627,1.0,3,-1,-1
42976642,1.0,4,-1,-1
42952287,1.0,3,-1,-1
42952269,2.0,3,-1,-1
42955099,1.0,2,-1,-1
42987676,1.0,16777218,-1,-1
42977950,1.0,3,-1,-1
43005466,1.0,2,-1,-1
11901605192,2.0,1,11901605192,11901605190
7861011340,1.0,1,7861011340,4604318489
7405090655,1.0,1,5490232499,12466133364
6291245380,1.0,1,6291245380,6291245374
6291245375,3.0,1,6291245375,6291245374
446783200,2.0,1,446783200,42971221
7256916422,4.0,1,7256916422,7641813269
446784264,5.0,1,446784264,446784263
10314016411,7.0,1,10314016411,446784263
4926401557,12.0,1,4926401557,4926401556
10754627934,2.0,1,10754627934,2537294608
42959959,2.0,3,-1,-1
4202429323,2.0,2,-1,-1
42983661,1.0,1,42983661,42964195
9378109549,6.0,1,9378109549,43006990
43016237,1.0,1,43016237,42990208
42997484,1.0,2,-1,-1
42952305,1.0,4,-1,-1
42948300,1.0,4,-1,-1
43021223,3.0,3,-1,-1
42959777,3.0,2,-1,-1
42971073,1.0,1,42979382,42976273
43013499,1.0,1,43013499,42994324
42952843,3.0,1,42952843,42952867
6292949657,11.0,1,6292949657,6292949656
42996645,1.0,1,42996645,5102927453
7655402356,1.0,1,7655402356,446782746
446782746,1.0,1,446782746,12466133521
42973027,2.0,1,42973027,42978045
6603084849,1.0,1,6603084849,42971221
11820071530,2.0,0,-1,-1
42972737,26.0,3,-1,-1
43004507,1.0,3,-1,-1
42958499,1.0,3,-1,-1
43004496,1.0,1,43004496,42988992
9357212109,2.0,1,9357212109,9357212110
43010737,2.0,3,-1,-1
42976915,30.0,2,-1,-1
42961441,3.0,4,-1,-1
