generator,K,n,n_tabXII,coverage_tabXII,coverage,ceiling_theory,ceiling_realized,slack_theory,holds,vacuous
eps10,3,625,778,0.0489,0.0528,0.144,0.0528,0.0912,True,False
eps10,5,625,778,0.0756,0.0816,0.144,0.0816,0.0624,True,False
eps10,15,625,778,0.1007,0.1088,0.144,0.1088,0.0352,True,False
eps25,3,625,778,0.0741,0.08,0.3936,0.08,0.3136,True,False
eps25,5,625,778,0.1289,0.1392,0.3936,0.1392,0.2544,True,False
eps25,15,625,778,0.203,0.2192,0.3936,0.2192,0.1744,True,False
ipsp_rho125,3,1503,1822,0.5484,0.5376,0.8044,0.5822,0.2668,True,False
ipsp_rho125,5,1503,1822,0.8125,0.815,0.9534,0.8363,0.1384,True,True
ipsp_rho125,15,1503,1822,0.9987,0.9987,1.0,0.9987,0.0013,True,True
ipsp_rho4,3,1503,1822,0.9683,0.9667,0.9993,0.9794,0.0326,True,True
ipsp_rho4,5,1503,1822,1.0,1.0,1.0,1.0,0.0,True,True
ipsp_rho4,15,1503,1822,1.0,1.0,1.0,1.0,0.0,True,True
yen,3,625,778,0.1689,0.128,0.128,0.128,0.0,True,False
yen,5,625,778,0.2652,0.232,0.232,0.232,0.0,True,False
yen,15,625,778,0.4415,0.4224,0.424,0.424,0.0016,True,False
