city,orientation,n,n_access,w0,w1,w2,w1_ci,med_kappa
Amsterdam,AD,409,146.0,0.0,0.137,0.863,"[0.104,0.173]",3.0
Amsterdam,DA,409,146.0,0.0,0.116,0.884,"[0.086,0.148]",3.0
Barcelona,AD,305,270.0,0.001,0.129,0.87,"[0.094,0.17]",3.0
Barcelona,DA,305,270.0,0.003,0.12,0.877,"[0.086,0.158]",3.0
Paris,AD,386,540.0,0.0,0.135,0.865,"[0.098,0.173]",3.0
Paris,DA,386,540.0,0.006,0.111,0.883,"[0.079,0.146]",3.0
Seattle,AD,472,185.0,0.0,0.057,0.943,"[0.032,0.086]",3.0
Seattle,DA,472,185.0,0.0,0.058,0.942,"[0.032,0.087]",3.0
New York City,AD,1869,997.0,0.0,0.038,0.962,"[0.027,0.049]",4.0
New York City,DA,1869,997.0,0.0,0.041,0.959,"[0.03,0.053]",4.0
POOLED,AD,3441,,0.0,0.094,0.905,"[0.081,0.108]",3.0
POOLED,DA,3441,,0.001,0.085,0.913,"[0.073,0.098]",3.0
