city,orientation,d,w,kappa
Amsterdam,AD,7889568436,0.0027472527472527,1
Amsterdam,AD,1359387752,0.0054945054945054,1
Amsterdam,AD,1359387759,0.0109890109890109,1
Amsterdam,AD,46547509,0.0054945054945054,1
Amsterdam,AD,1764586015,0.0082417582417582,2
Amsterdam,AD,46410367,0.0027472527472527,1
Amsterdam,AD,46315539,0.0027472527472527,2
Amsterdam,AD,830007801,0.0027472527472527,2
Amsterdam,AD,4729918422,0.0109890109890109,1
Amsterdam,AD,1224210135,0.0027472527472527,2
Amsterdam,AD,46276656,0.0027472527472527,1
Amsterdam,AD,46315759,0.0027472527472527,2
Amsterdam,AD,10775555727,0.0714285714285714,1
Amsterdam,AD,10799514722,0.0027472527472527,1
Amsterdam,AD,46478508,0.0082417582417582,2
Amsterdam,AD,1025242720,0.0027472527472527,2
Amsterdam,AD,46291576,0.0412087912087912,3
Amsterdam,AD,46312105,0.0494505494505494,1
Amsterdam,AD,1027384965,0.0054945054945054,2
Amsterdam,AD,11029986849,0.0027472527472527,1
Amsterdam,AD,46472711,0.0054945054945054,2
Amsterdam,AD,46254018,0.0109890109890109,1
Amsterdam,AD,46296489,0.0357142857142857,3
Amsterdam,AD,1625112157,0.0274725274725274,1
Amsterdam,AD,46335125,0.0219780219780219,1
Amsterdam,AD,46351114,0.0247252747252747,1
Amsterdam,AD,46413366,0.0137362637362637,4
Amsterdam,AD,46436216,0.0054945054945054,1
Amsterdam,AD,46476375,0.0302197802197802,3
Amsterdam,AD,46548744,0.0027472527472527,2
Amsterdam,AD,46292887,0.0054945054945054,1
Amsterdam,AD,1991478008,0.2692307692307692,2
Amsterdam,AD,504576044,0.0082417582417582,2
Amsterdam,AD,2821156914,0.0137362637362637,1
Amsterdam,AD,618378796,0.0164835164835164,2
Amsterdam,AD,7883614520,0.0054945054945054,2
Amsterdam,AD,46520014,0.0027472527472527,2
Amsterdam,AD,46548464,0.0027472527472527,2
Amsterdam,AD,748723148,0.0549450549450549,1
