expH,rpe_prime,Li_div,Deng_pm,config,city,d,kappa,D
1.0,1.0,0.930001868209493,15.0,single,Amsterdam,7889568436,1,1
1.0,1.0,0.9430148943815314,15.0,multi,Amsterdam,7889568436,1,1
1.0,1.0,0.9280288649811956,15.0,single,Amsterdam,1359387752,1,1
1.0,1.0,0.9308052356351624,15.0,multi,Amsterdam,1359387752,1,1
1.0,1.0,0.8932109966546198,15.0,single,Amsterdam,1359387759,1,1
1.0,1.0,0.9375854414207914,15.0,multi,Amsterdam,1359387759,1,1
1.0,1.0,0.9285533841374689,15.0,single,Amsterdam,46547509,1,1
1.0,1.0,0.9320065899944752,15.0,multi,Amsterdam,46547509,1,1
1.0000117667418484,1.000000669593768,0.9172499319159364,15.0,single,Amsterdam,1764586015,2,2
1.000011766746219,1.0000006943938244,0.9304943175803234,15.0,multi,Amsterdam,1764586015,2,2
1.0000143276387672,1.0000006431496862,0.9307182922796107,15.0,single,Amsterdam,46410367,1,1
1.0000000024761941,1.0000000000737137,0.9412556786257091,15.0,multi,Amsterdam,46410367,2,2
1.0000117672428668,1.0000009867895345,0.9227802649298671,15.0,single,Amsterdam,46315539,1,1
1.0000117672428668,1.000001041611175,0.9380509711462347,15.0,multi,Amsterdam,46315539,2,2
1.0000143276387672,1.0000007717797228,0.9635172750916219,15.0,single,Amsterdam,830007801,2,2
1.0000000000000004,1.0,0.9688657752711215,15.0,multi,Amsterdam,830007801,3,3
1.0,1.0,0.9380543894492874,15.0,single,Amsterdam,4729918422,1,1
1.0,1.0,0.9508605849788433,15.0,multi,Amsterdam,4729918422,1,1
1.0,1.0,0.9516687323915156,15.0,single,Amsterdam,1224210135,2,2
1.0,1.0,0.9536892290924117,15.0,multi,Amsterdam,1224210135,2,2
1.1184230204966403,1.0247805253829871,0.911184244522186,15.0,single,Amsterdam,46276656,1,1
1.0000000045819675,1.0000000002982463,0.9561408647302967,15.0,multi,Amsterdam,46276656,2,2
1.0000000015960633,1.0000000000890465,0.9391012921189964,15.0,single,Amsterdam,46315759,2,2
1.0000000015919488,1.000000000097645,0.9477429538083306,15.0,multi,Amsterdam,46315759,2,2
3.000000000028201,1.000000000000626,0.8927414859864302,15.0,single,Amsterdam,10775555727,1,1
