config,city,n,base_rate_k1,violations,cover_D2_given_redund,certified_share,spof_share_in_uncertified,auc_redund_D,ap_spof_D,auc_redund_expH,ap_spof_expH,auc_redund_rpe_prime,ap_spof_rpe_prime,auc_redund_Li_div,ap_spof_Li_div,auc_redund_Deng_pm,ap_spof_Deng_pm,medD_k1,medD_k2,medD_k3plus
single,Amsterdam,405,0.464,0,1.0,0.536,1.0,1.0,1.0,0.569,0.51,0.584,0.52,0.84,0.772,0.5,0.464,1.0,2.0,3.0
single,Barcelona,301,0.492,0,1.0,0.508,1.0,1.0,1.0,0.6,0.575,0.557,0.535,0.857,0.783,0.5,0.492,1.0,2.0,3.0
single,Paris,381,0.444,0,1.0,0.556,1.0,1.0,1.0,0.536,0.466,0.534,0.453,0.822,0.742,0.5,0.444,1.0,2.0,3.0
single,Seattle,467,0.37,0,1.0,0.63,1.0,1.0,1.0,0.564,0.413,0.538,0.393,0.827,0.674,0.5,0.37,1.0,2.0,3.0
single,New York City,250,0.228,0,1.0,0.772,1.0,1.0,1.0,0.456,0.223,0.579,0.27,0.892,0.718,0.5,0.228,1.0,2.0,3.0
single,POOLED,1804,0.407,0,1.0,0.593,1.0,1.0,1.0,0.548,0.449,0.562,0.448,0.792,0.685,0.5,0.407,1.0,2.0,3.0
multi,Amsterdam,409,0.188,0,1.0,0.812,1.0,1.0,1.0,0.661,0.266,0.598,0.236,0.883,0.523,0.5,0.188,1.0,2.0,4.0
multi,Barcelona,304,0.184,0,1.0,0.816,1.0,1.0,1.0,0.614,0.257,0.599,0.239,0.947,0.801,0.5,0.184,1.0,2.0,3.0
multi,Paris,385,0.122,0,1.0,0.878,1.0,1.0,1.0,0.623,0.183,0.579,0.141,0.886,0.549,0.5,0.122,1.0,2.0,3.0
multi,Seattle,471,0.085,0,1.0,0.915,1.0,1.0,1.0,0.579,0.114,0.561,0.109,0.9,0.498,0.5,0.085,1.0,2.0,4.0
multi,New York City,250,0.08,0,1.0,0.92,1.0,1.0,1.0,0.493,0.101,0.51,0.091,0.945,0.579,0.5,0.08,1.0,2.0,4.0
multi,POOLED,1819,0.132,0,1.0,0.868,1.0,1.0,1.0,0.622,0.193,0.598,0.174,0.866,0.483,0.5,0.132,1.0,2.0,4.0
