config,city,n,frac_redund,base_rate_k1,auc_redund_Deng_pm,auc_spof_Deng_pm,sp_Deng_pm,topthird_k1_Deng_pm,auc_redund_expH,auc_spof_expH,sp_expH,topthird_k1_expH,auc_redund_rpe_prime,auc_spof_rpe_prime,sp_rpe_prime,topthird_k1_rpe_prime,auc_redund_Li_div,auc_spof_Li_div,sp_Li_div,topthird_k1_Li_div,auc_redund_Deng_pm_ci,auc_spof_Deng_pm_ci,auc_redund_expH_ci,auc_spof_expH_ci,auc_redund_rpe_prime_ci,auc_spof_rpe_prime_ci,auc_redund_Li_div_ci,auc_spof_Li_div_ci
single,Amsterdam,405,0.536,0.464,0.5,0.5,,0.464,0.568,0.568,0.203,0.397,0.584,0.584,0.225,0.348,0.84,0.84,0.677,0.089,,,,,,,,
single,Barcelona,301,0.508,0.492,0.5,0.5,,0.492,0.6,0.6,0.168,0.386,0.557,0.557,0.13,0.436,0.857,0.857,0.656,0.109,,,,,,,,
single,Paris,381,0.556,0.444,0.5,0.5,,0.444,0.536,0.536,0.102,0.4,0.534,0.534,0.121,0.394,0.822,0.822,0.586,0.094,,,,,,,,
single,Seattle,467,0.63,0.37,0.5,0.5,,0.37,0.564,0.564,0.085,0.276,0.538,0.538,0.052,0.314,0.827,0.827,0.64,0.058,,,,,,,,
single,New York City,250,0.772,0.228,0.5,0.5,,0.228,0.456,0.456,-0.02,0.262,0.579,0.579,0.099,0.167,0.892,0.892,0.697,0.012,,,,,,,,
single,POOLED,1804,0.593,0.407,0.5,0.5,,0.407,0.548,0.548,0.086,0.36,0.562,0.562,0.139,0.349,0.792,0.792,0.611,0.123,"[0.50,0.50]","[0.50,0.50]","[0.52,0.57]","[0.52,0.57]","[0.53,0.59]","[0.53,0.59]","[0.77,0.81]","[0.77,0.81]"
multi,Amsterdam,409,0.812,0.188,0.5,0.5,,0.188,0.661,0.661,0.299,0.095,0.598,0.598,0.278,0.109,0.883,0.883,0.757,0.0,,,,,,,,
multi,Barcelona,304,0.816,0.184,0.5,0.5,,0.184,0.614,0.614,0.248,0.118,0.599,0.599,0.191,0.127,0.947,0.947,0.685,0.0,,,,,,,,
multi,Paris,385,0.878,0.122,0.5,0.5,,0.122,0.623,0.623,0.313,0.085,0.579,0.579,0.29,0.078,0.886,0.886,0.581,0.008,,,,,,,,
multi,Seattle,471,0.915,0.085,0.5,0.5,,0.085,0.579,0.579,0.068,0.051,0.561,0.561,0.081,0.089,0.9,0.9,0.636,0.0,,,,,,,,
multi,New York City,250,0.92,0.08,0.5,0.5,,0.08,0.493,0.493,0.04,0.095,0.51,0.51,0.129,0.083,0.945,0.945,0.641,0.0,,,,,,,,
multi,POOLED,1819,0.868,0.132,0.5,0.5,,0.132,0.622,0.622,0.192,0.082,0.598,0.598,0.216,0.092,0.866,0.866,0.624,0.007,"[0.50,0.50]","[0.50,0.50]","[0.58,0.66]","[0.58,0.66]","[0.56,0.64]","[0.56,0.64]","[0.84,0.88]","[0.84,0.88]"
