expH,rpe_prime,Li_div,Deng_pm,city,d,kappa
1.0,1.0,0.930001868209493,15.0,Amsterdam,7889568436,1
1.0,1.0,0.9280288649811956,15.0,Amsterdam,1359387752,1
1.0,1.0,0.8932109966546198,15.0,Amsterdam,1359387759,1
1.0,1.0,0.9285533841374689,15.0,Amsterdam,46547509,1
1.0000117667418484,1.000000669593768,0.9172499319159364,15.0,Amsterdam,1764586015,2
1.0000143276387672,1.0000006431496862,0.9307182922796107,15.0,Amsterdam,46410367,1
1.0000117672428668,1.0000009867895345,0.9227802649298671,15.0,Amsterdam,46315539,1
1.0000143276387672,1.0000007717797228,0.9635172750916219,15.0,Amsterdam,830007801,2
1.0,1.0,0.9380543894492874,15.0,Amsterdam,4729918422,1
1.0,1.0,0.9516687323915156,15.0,Amsterdam,1224210135,2
1.1184230204966403,1.0247805253829871,0.911184244522186,15.0,Amsterdam,46276656,1
1.0000000015960633,1.0000000000890465,0.9391012921189964,15.0,Amsterdam,46315759,2
3.000000000028201,1.000000000000626,0.8927414859864302,15.0,Amsterdam,10775555727,1
1.0,1.0,0.9567158723730835,15.0,Amsterdam,10799514722,1
1.0,1.0,0.9652511409853208,15.0,Amsterdam,46478508,2
1.0013976889521379,1.0001108309761289,0.9106542065723638,15.0,Amsterdam,1025242720,2
4.000000000005346,1.0000000000000653,0.9107988234010571,15.0,Amsterdam,46291576,3
1.0000000000000226,1.0000000000000016,0.9338249696803758,15.0,Amsterdam,46312105,1
1.0000000000402482,1.0000000000021345,0.9444977485475153,15.0,Amsterdam,1027384965,1
1.0,1.0,0.9632680375074877,15.0,Amsterdam,11029986849,1
1.0,1.0,0.9661300452780432,15.0,Amsterdam,46472711,2
1.0,1.0,0.9469855569312536,15.0,Amsterdam,46254018,2
1.0000000000000004,1.0,0.971925741905439,15.0,Amsterdam,46296489,3
1.0000000000141962,1.0000000000009697,0.9435299439291704,15.0,Amsterdam,1625112157,1
1.0,1.0,0.9581319442934022,15.0,Amsterdam,46335125,1
1.0000006997446185,1.0000000476693487,0.9582033633726394,15.0,Amsterdam,46351114,2
1.0,1.0,0.9870620226580091,15.0,Amsterdam,46413366,4
1.000004236058781,1.0000005181380678,0.9778971931165277,15.0,Amsterdam,46436216,1
1.0,1.0,0.971502494034242,15.0,Amsterdam,46476375,3
1.0,1.0,0.9602887496896042,15.0,Amsterdam,46548744,2
1.0,1.0,0.9510712768898719,15.0,Amsterdam,46292887,1
1.0000000000115994,1.0000000000007903,0.9540614916396754,15.0,Amsterdam,1991478008,1
1.0000006997446185,1.0000000427380367,0.9701345112777416,15.0,Amsterdam,504576044,2
1.0000000000000002,1.0,0.9777121643344715,15.0,Amsterdam,2821156914,1
1.0,1.0,0.9768259426838766,15.0,Amsterdam,618378796,3
1.0,1.0,0.9494561681937604,15.0,Amsterdam,7883614520,2
1.0,1.0,0.9562259540833514,15.0,Amsterdam,46520014,2
1.0,1.0,0.9558113527467392,15.0,Amsterdam,46548464,2
1.0,1.0,0.9322260855264666,15.0,Amsterdam,748723148,1
1.0000000000000078,1.0000000000000004,0.9365821818853601,15.0,Amsterdam,46292054,2
1.0112408841248866,1.0026611185443923,0.9779606691124806,15.0,Amsterdam,46310733,3
1.000000003965153,1.0000000003282996,0.9778904115681752,15.0,Amsterdam,9476330484,2
1.0,1.0,0.9689576877371147,15.0,Amsterdam,2821156677,1
1.0,1.0,0.984010828037866,15.0,Amsterdam,46415227,3
1.0,1.0,0.951979361556803,15.0,Amsterdam,10128214173,1
1.000000024389531,1.000000000799741,0.8042788488035342,15.0,Amsterdam,7887074221,1
1.0000000905314768,1.000000003836859,0.9295351654715646,15.0,Amsterdam,46233564,2
2.000000000482471,1.0000000000163256,0.958570353509366,15.0,Amsterdam,46273301,3
1.0,1.0,0.9465018362238912,15.0,Amsterdam,4742151382,1
1.0002154997027233,1.0000343875214959,0.9546657131643395,15.0,Amsterdam,46332375,1
1.0120410280976457,1.0030974724331219,0.962328164204085,15.0,Amsterdam,4799100471,1
1.0,1.0,0.9899105821815751,15.0,Amsterdam,7476552784,4
1.000000001470521,1.0000000001198575,0.9808327034288363,15.0,Amsterdam,46433459,3
1.0,1.0,0.964781290076984,15.0,Amsterdam,6459278056,2
1.0000000905335273,1.0000000046710438,0.9134180217408758,15.0,Amsterdam,420241704,2
15.0,1.000000000000003,0.0,15.0,Amsterdam,5274990069,1
1.0044039055596305,1.0004391457397077,0.8433869901451919,15.0,Amsterdam,1596178397,1
1.0000000000000004,1.0,0.9682197032541094,15.0,Amsterdam,46311892,2
1.003248175283232,1.000632487670155,0.9787004460831955,15.0,Amsterdam,46331939,3
1.0,1.0,0.9316095668014392,15.0,Amsterdam,2012191835,1
1.7981000285716044,1.6370255558190592,0.9587064553409564,15.0,Amsterdam,46366150,1
1.0,1.0,0.9748308801074123,15.0,Amsterdam,1587421936,2
1.0,1.0,0.9830785793306612,15.0,Amsterdam,46434295,2
1.0,1.0,0.962049673886041,15.0,Amsterdam,46471597,2
1.0000000047049824,1.000000000271886,0.9333241003498253,15.0,Amsterdam,46489067,1
1.0,1.0,0.8998750458666054,15.0,Amsterdam,8116544761,2
1.0027816265767477,1.0002893817989291,0.9344751175511464,15.0,Amsterdam,1575311685,2
2.012399736313121,1.000557168851744,0.9241018098072173,15.0,Amsterdam,4053664514,2
1.0008479110281185,1.0001305922466759,0.9684775496466314,15.0,Amsterdam,46311221,2
1.0000000000000002,1.0,0.9496960564996659,15.0,Amsterdam,330033173,1
1.6725519556162258,1.4973308503411475,0.9833328213476364,15.0,Amsterdam,2012191567,3
1.0,1.0,0.9485732565464896,15.0,Amsterdam,46366674,1
1.0000000000000007,1.0,0.9351200773157208,15.0,Amsterdam,8340035244,1
1.0,1.0,0.9863780333750926,15.0,Amsterdam,46410025,3
1.0,1.0,0.9750006311347638,15.0,Amsterdam,46432455,2
1.0,1.0,0.9789335155687015,15.0,Amsterdam,6459263732,3
1.0,1.0,0.9781753857178124,15.0,Amsterdam,2028093778,2
1.0,1.0,0.9598040294383824,15.0,Amsterdam,1032858490,2
1.0000616391675943,1.0000085297373549,0.9501987107163229,15.0,Amsterdam,8177207459,1
1.0000031075907134,1.0000003386169611,0.936723771472737,15.0,Amsterdam,8163946870,1
2.0,1.0,0.9086355233869051,15.0,Amsterdam,10693951339,1
1.000000003685544,1.0000000002773428,0.9410522874715403,15.0,Amsterdam,303203391,1
5.000000000000001,0.9999999999999996,0.8768632985432304,15.0,Amsterdam,46291715,3
1.0,1.0,0.9555034703771947,15.0,Amsterdam,46314364,3
1.0000000004027265,1.00000000002917,0.974777616100683,15.0,Amsterdam,46329410,3
1.0,1.0,0.9456617360017405,15.0,Amsterdam,46348398,1
1.000210132252543,1.0000344305680384,0.9578102505556466,15.0,Amsterdam,46367399,2
2.108080914239549,1.0125017359188409,0.959111793005466,15.0,Amsterdam,46390320,2
