city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,7889568436,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,1359387752,0.005494505494505495,1,2,-1,-1
Amsterdam,AD,1,1359387759,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,46547509,0.005494505494505495,1,3,-1,-1
Amsterdam,AD,1,1764586015,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,46410367,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46315539,0.0027472527472527475,2,1,-1,-1
Amsterdam,AD,1,830007801,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,4729918422,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,1224210135,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46276656,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46315759,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,10775555727,0.07142857142857142,1,1,-1,-1
Amsterdam,AD,1,10799514722,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46478508,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,1025242720,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46291576,0.04120879120879121,3,3,-1,-1
Amsterdam,AD,1,46312105,0.04945054945054945,1,3,-1,-1
Amsterdam,AD,1,1027384965,0.005494505494505495,2,1,-1,-1
Amsterdam,AD,1,11029986849,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46472711,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,46254018,0.01098901098901099,1,2,-1,-1
Amsterdam,AD,1,46296489,0.03571428571428571,3,3,-1,-1
Amsterdam,AD,1,1625112157,0.027472527472527472,1,1,-1,-1
Amsterdam,AD,1,46335125,0.02197802197802198,1,3,-1,-1
Amsterdam,AD,1,46351114,0.024725274725274724,1,3,-1,-1
Amsterdam,AD,1,46413366,0.013736263736263736,4,4,-1,-1
Amsterdam,AD,1,46436216,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46476375,0.03021978021978022,3,4,-1,-1
Amsterdam,AD,1,46548744,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,46292887,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,1991478008,0.2692307692307692,2,1,-1,-1
Amsterdam,AD,1,504576044,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,2821156914,0.013736263736263736,1,1,-1,-1
Amsterdam,AD,1,618378796,0.016483516483516484,2,3,-1,-1
Amsterdam,AD,1,7883614520,0.005494505494505495,2,2,-1,-1
Amsterdam,AD,1,46520014,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46548464,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,748723148,0.054945054945054944,1,1,-1,-1
Amsterdam,AD,1,46292054,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46310733,0.0521978021978022,3,3,-1,-1
Amsterdam,AD,1,9476330484,0.005494505494505495,1,2,-1,-1
Amsterdam,AD,1,2821156677,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46415227,0.008241758241758242,3,3,-1,-1
Amsterdam,AD,1,10128214173,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,7887074221,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46233564,0.005494505494505495,2,2,-1,-1
Amsterdam,AD,1,46273301,0.0027472527472527475,3,3,-1,-1
Amsterdam,AD,1,4742151382,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46332375,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,4799100471,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,7476552784,0.027472527472527472,4,4,-1,-1
Amsterdam,AD,1,46433459,0.1620879120879121,3,3,-1,-1
Amsterdam,AD,1,6459278056,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,420241704,0.016483516483516484,2,3,-1,-1
Amsterdam,AD,1,5274990069,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,1596178397,0.005494505494505495,1,2,-1,-1
Amsterdam,AD,1,46311892,0.1043956043956044,2,2,-1,-1
Amsterdam,AD,1,46331939,0.03021978021978022,3,3,-1,-1
Amsterdam,AD,1,2012191835,0.008241758241758242,1,1,-1,-1
Amsterdam,AD,1,46366150,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,1587421936,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,46434295,0.07417582417582418,3,3,-1,-1
Amsterdam,AD,1,46471597,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,46489067,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,8116544761,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,1575311685,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,4053664514,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,46311221,0.013736263736263736,3,2,-1,-1
Amsterdam,AD,1,330033173,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,2012191567,0.04120879120879121,3,3,-1,-1
Amsterdam,AD,1,46366674,0.02197802197802198,1,1,-1,-1
Amsterdam,AD,1,8340035244,0.016483516483516484,1,2,-1,-1
Amsterdam,AD,1,46410025,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,46432455,0.09615384615384616,2,2,-1,-1
Amsterdam,AD,1,6459263732,0.005494505494505495,3,3,-1,-1
Amsterdam,AD,1,2028093778,0.038461538461538464,2,3,-1,-1
Amsterdam,AD,1,1032858490,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,8177207459,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,8163946870,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,10693951339,0.02197802197802198,1,1,-1,-1
Amsterdam,AD,1,303203391,0.013736263736263736,2,1,-1,-1
Amsterdam,AD,1,46291715,0.03571428571428571,3,3,-1,-1
Amsterdam,AD,1,46314364,0.019230769230769232,3,3,-1,-1
Amsterdam,AD,1,46329410,0.0027472527472527475,3,3,-1,-1
Amsterdam,AD,1,46348398,0.016483516483516484,1,1,-1,-1
