city,orientation,k,n,w0,w1,w2,w1_ci,med_kappa,max_kappa,cut_first_share
Amsterdam,AD,1,409,0.062,0.366,0.572,"[0.258,0.483]",2.0,50.0,
Amsterdam,AD,3,409,0.0,0.121,0.879,"[0.062,0.211]",3.0,50.0,
Amsterdam,DA,1,409,0.022,0.396,0.582,"[0.284,0.505]",2.0,50.0,0.942
Amsterdam,DA,3,409,0.0,0.125,0.875,"[0.061,0.221]",3.0,50.0,0.767
Barcelona,AD,1,305,0.021,0.322,0.656,"[0.231,0.417]",2.0,50.0,
Barcelona,AD,3,305,0.0,0.116,0.884,"[0.053,0.191]",3.0,50.0,
Barcelona,DA,1,305,0.009,0.429,0.562,"[0.331,0.522]",2.0,50.0,0.99
Barcelona,DA,3,305,0.0,0.111,0.889,"[0.042,0.194]",3.0,50.0,0.587
Paris,AD,1,386,0.023,0.349,0.628,"[0.283,0.423]",2.0,50.0,
Paris,AD,3,386,0.0,0.119,0.881,"[0.075,0.168]",3.0,50.0,
Paris,DA,1,386,0.013,0.399,0.588,"[0.326,0.468]",2.0,50.0,0.95
Paris,DA,3,386,0.007,0.103,0.89,"[0.066,0.147]",3.0,50.0,0.882
Seattle,AD,1,472,0.01,0.306,0.684,"[0.231,0.386]",2.0,50.0,
Seattle,AD,3,472,0.0,0.069,0.931,"[0.031,0.118]",3.0,50.0,
Seattle,DA,1,472,0.009,0.336,0.655,"[0.257,0.419]",2.0,50.0,0.979
Seattle,DA,3,472,0.0,0.06,0.94,"[0.026,0.105]",3.0,50.0,0.932
New York City,AD,1,1869,0.001,0.218,0.781,"[0.184,0.253]",2.0,50.0,
New York City,AD,3,1869,0.0,0.039,0.961,"[0.026,0.054]",4.0,50.0,
New York City,DA,1,1869,0.001,0.215,0.784,"[0.181,0.252]",2.0,50.0,0.972
New York City,DA,3,1869,0.001,0.044,0.955,"[0.029,0.061]",4.0,50.0,0.785
POOLED,AD,1,3441,0.015,0.284,0.701,"[0.257,0.313]",,,
POOLED,AD,3,3441,0.0,0.077,0.923,"[0.06,0.096]",,,
POOLED,DA,1,3441,0.008,0.313,0.679,"[0.282,0.343]",,,0.967
POOLED,DA,3,3441,0.002,0.074,0.924,"[0.057,0.092]",,,0.792
