level,node,kappa,p,B,events,phat,se
zone,26585460,2,0.1,30000,485,0.016166666666666666,
zone,46173228,2,0.1,30000,736,0.024533333333333334,
zone,46173879,2,0.1,30000,1409,0.046966666666666664,
zone,46173882,4,0.1,30000,260,0.008666666666666666,
zone,46183572,50,0.1,30000,0,0.0,
zone,46185495,5,0.1,30000,261,0.0087,
zone,46186730,4,0.1,30000,305,0.010166666666666666,
zone,46187268,3,0.1,30000,358,0.011933333333333334,
zone,46187415,4,0.1,30000,573,0.0191,
zone,46188193,3,0.1,30000,1210,0.04033333333333333,
zone,46202403,3,0.1,30000,380,0.012666666666666666,
zone,46203773,3,0.1,30000,762,0.0254,
zone,46203826,3,0.1,30000,522,0.0174,
zone,46206669,1,0.1,30000,7711,0.25703333333333334,
zone,46209547,2,0.1,30000,1450,0.04833333333333333,
zone,46210174,2,0.1,30000,16057,0.5352333333333333,
zone,46226051,2,0.1,30000,2822,0.09406666666666667,
zone,46232048,2,0.1,30000,2196,0.0732,
zone,46233564,2,0.1,30000,5030,0.16766666666666666,
zone,46241980,5,0.1,30000,146,0.004866666666666667,
zone,46244938,2,0.1,30000,13248,0.4416,
zone,46245091,2,0.1,30000,6078,0.2026,
zone,46245850,2,0.1,30000,6192,0.2064,
zone,46246148,3,0.1,30000,313,0.010433333333333333,
zone,46247628,50,0.1,30000,0,0.0,
zone,46248097,3,0.1,30000,223,0.0074333333333333335,
zone,46248282,50,0.1,30000,0,0.0,
zone,46249143,1,0.1,30000,11470,0.38233333333333336,
zone,46249918,1,0.1,30000,6459,0.2153,
zone,46254018,2,0.1,30000,2421,0.0807,
zone,46262650,2,0.1,30000,4686,0.1562,
zone,46264173,1,0.1,30000,11482,0.3827333333333333,
zone,46265190,6,0.1,30000,27,0.0009,
zone,46266650,1,0.1,30000,11170,0.37233333333333335,
zone,46268594,5,0.1,30000,3,0.0001,
zone,46268854,2,0.1,30000,1778,0.05926666666666667,
zone,46268858,5,0.1,30000,56,0.0018666666666666666,
zone,46269468,4,0.1,30000,27,0.0009,
zone,46270689,3,0.1,30000,525,0.0175,
zone,46273301,4,0.1,30000,548,0.018266666666666667,
zone,46276656,2,0.1,30000,1431,0.0477,
zone,46283554,2,0.1,30000,932,0.031066666666666666,
zone,46283936,5,0.1,30000,73,0.0024333333333333334,
zone,46285788,5,0.1,30000,32,0.0010666666666666667,
zone,46287877,6,0.1,30000,9,0.0003,
zone,46288279,2,0.1,30000,3026,0.10086666666666666,
zone,46289304,4,0.1,30000,14,0.00046666666666666666,
zone,46289604,2,0.1,30000,2795,0.09316666666666666,
zone,46291576,4,0.1,30000,297,0.0099,
zone,46291715,3,0.1,30000,107,0.0035666666666666668,
zone,46292054,3,0.1,30000,393,0.0131,
zone,46292887,4,0.1,30000,40,0.0013333333333333333,
zone,46296489,5,0.1,30000,66,0.0022,
zone,46301596,5,0.1,30000,40,0.0013333333333333333,
zone,46302228,4,0.1,30000,37,0.0012333333333333332,
zone,46303183,4,0.1,30000,114,0.0038,
zone,46304102,3,0.1,30000,244,0.008133333333333333,
zone,46304170,4,0.1,30000,62,0.0020666666666666667,
zone,46305900,5,0.1,30000,2,6.666666666666667e-05,
zone,46306163,2,0.1,30000,671,0.022366666666666667,
zone,46307158,3,0.1,30000,110,0.0036666666666666666,
zone,46307544,7,0.1,30000,0,0.0,
zone,46308006,3,0.1,30000,724,0.024133333333333333,
zone,46309533,5,0.1,30000,25,0.0008333333333333334,
zone,46310386,3,0.1,30000,791,0.026366666666666667,
zone,46310733,4,0.1,30000,60,0.002,
zone,46311221,4,0.1,30000,64,0.0021333333333333334,
zone,46311892,4,0.1,30000,245,0.008166666666666666,
zone,46312105,2,0.1,30000,1380,0.046,
zone,46314364,4,0.1,30000,387,0.0129,
zone,46315539,2,0.1,30000,4195,0.13983333333333334,
zone,46315759,2,0.1,30000,1072,0.03573333333333333,
zone,46322718,3,0.1,30000,564,0.0188,
zone,46322722,4,0.1,30000,42,0.0014,
zone,46325205,4,0.1,30000,77,0.0025666666666666667,
zone,46325460,4,0.1,30000,33,0.0011,
zone,46325757,50,0.1,30000,0,0.0,
zone,46326107,2,0.1,30000,1784,0.05946666666666667,
zone,46328500,1,0.1,30000,6781,0.22603333333333334,
zone,46329410,3,0.1,30000,226,0.007533333333333334,
zone,46330371,4,0.1,30000,28,0.0009333333333333333,
zone,46331939,3,0.1,30000,229,0.007633333333333333,
zone,46332375,3,0.1,30000,305,0.010166666666666666,
zone,46335125,1,0.1,30000,4103,0.13676666666666668,
zone,46336052,1,0.1,30000,11686,0.38953333333333334,
zone,46336665,1,0.1,30000,12054,0.4018,
zone,46342860,3,0.1,30000,209,0.006966666666666667,
zone,46342863,3,0.1,30000,248,0.008266666666666667,
zone,46345386,4,0.1,30000,47,0.0015666666666666667,
zone,46345823,5,0.1,30000,2,6.666666666666667e-05,
zone,46346389,3,0.1,30000,78,0.0026,
zone,46346468,3,0.1,30000,241,0.008033333333333333,
zone,46348398,2,0.1,30000,2658,0.0886,
zone,46348429,4,0.1,30000,150,0.005,
zone,46351114,2,0.1,30000,2418,0.0806,
zone,46359172,2,0.1,30000,9533,0.31776666666666664,
zone,46360124,3,0.1,30000,130,0.004333333333333333,
zone,46361012,4,0.1,30000,18,0.0006,
zone,46361036,4,0.1,30000,178,0.005933333333333333,
zone,46361614,2,0.1,30000,616,0.020533333333333334,
zone,46363900,4,0.1,30000,34,0.0011333333333333334,
zone,46365716,4,0.1,30000,34,0.0011333333333333334,
zone,46366150,2,0.1,30000,1546,0.051533333333333334,
zone,46366674,3,0.1,30000,2879,0.09596666666666667,
zone,46367399,5,0.1,30000,11,0.00036666666666666667,
zone,46369747,4,0.1,30000,39,0.0013,
zone,46371106,4,0.1,30000,11,0.00036666666666666667,
zone,46375408,1,0.1,30000,7463,0.24876666666666666,
zone,46381772,3,0.1,30000,2003,0.06676666666666667,
zone,46383015,2,0.1,30000,3699,0.1233,
zone,46383470,1,0.1,30000,9189,0.3063,
zone,46384590,4,0.1,30000,1015,0.03383333333333333,
zone,46385113,2,0.1,30000,1647,0.0549,
zone,46386984,2,0.1,30000,1494,0.0498,
zone,46389668,1,0.1,30000,4725,0.1575,
zone,46389674,4,0.1,30000,2,6.666666666666667e-05,
zone,46390320,4,0.1,30000,131,0.004366666666666666,
zone,46404184,3,0.1,30000,2192,0.07306666666666667,
zone,46404672,2,0.1,30000,1591,0.053033333333333335,
zone,46404755,3,0.1,30000,2387,0.07956666666666666,
zone,46405080,3,0.1,30000,131,0.004366666666666666,
zone,46405687,1,0.1,30000,12312,0.4104,
zone,46410025,5,0.1,30000,4,0.00013333333333333334,
zone,46410072,4,0.1,30000,38,0.0012666666666666666,
zone,46410367,2,0.1,30000,13783,0.45943333333333336,
zone,46410375,2,0.1,30000,585,0.0195,
zone,46411017,1,0.1,30000,8409,0.2803,
zone,46413366,5,0.1,30000,91,0.003033333333333333,
zone,46415227,4,0.1,30000,72,0.0024,
zone,46415865,2,0.1,30000,10241,0.34136666666666665,
zone,46420912,2,0.1,30000,9800,0.32666666666666666,
zone,46424348,2,0.1,30000,6938,0.23126666666666668,
zone,46427763,3,0.1,30000,184,0.0061333333333333335,
zone,46428787,3,0.1,30000,264,0.0088,
zone,46429656,4,0.1,30000,32,0.0010666666666666667,
zone,46430099,5,0.1,30000,55,0.0018333333333333333,
zone,46431917,1,0.1,30000,12303,0.4101,
zone,46432455,3,0.1,30000,450,0.015,
zone,46432836,2,0.1,30000,3017,0.10056666666666667,
zone,46433459,3,0.1,30000,309,0.0103,
zone,46434295,3,0.1,30000,201,0.0067,
zone,46435511,3,0.1,30000,273,0.0091,
zone,46436216,4,0.1,30000,211,0.007033333333333333,
zone,46445293,3,0.1,30000,747,0.0249,
zone,46446857,3,0.1,30000,924,0.0308,
zone,46448859,6,0.1,30000,13,0.0004333333333333333,
zone,46450028,3,0.1,30000,748,0.02493333333333333,
zone,46451017,4,0.1,30000,31,0.0010333333333333334,
zone,46460895,3,0.1,30000,1505,0.050166666666666665,
zone,46463601,2,0.1,30000,1743,0.0581,
zone,46466887,3,0.1,30000,943,0.031433333333333334,
zone,46467229,1,0.1,30000,9519,0.3173,
zone,46467741,5,0.1,30000,290,0.009666666666666667,
zone,46468706,4,0.1,30000,776,0.025866666666666666,
zone,46468710,4,0.1,30000,986,0.03286666666666667,
zone,46470161,3,0.1,30000,1218,0.0406,
zone,46471597,2,0.1,30000,4344,0.1448,
zone,46472711,2,0.1,30000,5147,0.17156666666666667,
zone,46472779,4,0.1,30000,1206,0.0402,
